# Format: filnamn|visningsnamn
AquaE.sdc|Aqua
BankP.sdc|Panama Bank
CineU.sdc|Cinema
CpusS.sdc|Cpuss
DeftS.sdc|Deftech Belew
Entry.sdc|Entry
FactP.sdc|Factory
GhostS.sdc|Ghost
KrauU.sdc|Krauser Lab
Lobby.sdc|Lobby
Mise.sdc|Missile
MounU.sdc|Mount Hospital
MuseE.sdc|Museum
OffsD.sdc|Offshore Oilrig
OrphS.sdc|Orphanage
PanaS.sdc|Panama
PolaP.sdc|Polar Base
RiveI.sdc|Riverside
Sance.sdc|Sanctuary
ScheU.sdc|Schermerhorn
ShadP.sdc|Shadow Moses
SkysD.sdc|SpyScraper
SlauS.sdc|Slaughter House
StatP.sdc|State Union
SteeP.sdc|Steel Squat
StroD.sdc|Stockhouse
TermD.sdc|Terminal
VertL.sdc|Vertigo
WareP.sdc|Warehouse
ZiopD.sdc|Zioplex
